season,team,position,status,full_name,first_name,last_name,jersey_number,depth_chart_position,gsis_id,espn_id,years_exp,headshot_url,week
2026,KC,QB,INA,Garrett Nussmeier,Garrett,Nussmeier,19,QB,00-0040906,4567747,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uyidfkzfhuqaks3pmdeo",2
2026,BAL,QB,INA,Joe Fagnano,Joe,Fagnano,12,QB,00-0040981,4429582,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p8uqfsnpx153mn3gjtd3",2
2026,NYJ,QB,ACT,Cade Klubnik,Cade,Klubnik,10,QB,00-0041056,4685413,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqsxavkryojbysy4kq85",2
2026,CLE,QB,INA,Taylen Green,Taylen,Green,15,QB,00-0041092,4431325,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ybylky9uitivzresfzt3",2
2026,WAS,QB,INA,Athan Kaliakmanis,Athan,Kaliakmanis,16,QB,00-0041117,4432722,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ahtbv63jyg8ampmyrxn9",2
2026,NE,QB,INA,Behren Morton,Behren,Morton,15,QB,00-0041123,4431465,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st5s1urflg14hwvx8uzl",2
2026,CAR,QB,INA,Haynes King,Haynes,King,16,QB,00-0041149,4428993,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcloyq4ahyh0hfzo6i0i",2
2026,HOU,QB,CUT,Mark Gronowski,Mark,Gronowski,16,QB,00-0041156,4695400,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yqbrulccgmwxaboyy3dx",2
2026,CHI,QB,DEV,Miller Moss,Miller,Moss,16,QB,00-0041172,,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p86kdskm2q45zetkrx03",2
2026,ATL,QB,ACT,Jack Strand,Jack,Strand,18,QB,00-0041194,5344782,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oadw9h9otuauaiv1vxvz",2
2026,JAX,QB,DEV,Joey Aguilar,Joey,Aguilar,17,QB,00-0041203,,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ftafwh4qrzhpxp8kq0ca",2
2026,TB,QB,ACT,Jalon Daniels,Jalon,Daniels,10,QB,00-0041251,4596472,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwhfl6i5drktwjvslfpn",2
2026,LA,QB,RES,Matthew Caldwell,Matthew,Caldwell,16,QB,00-0041414,,0,,2
2026,DET,QB,DEV,Luke Altmyer,Luke,Altmyer,15,QB,00-0041453,4597679,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eriopmdwcfjude1cptvi",2
2026,ARI,QB,INA,Carson Beck,Carson,Beck,19,QB,00-0041561,4430841,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvybqpgnezk75h9rpobv",2
2026,LV,QB,ACT,Fernando Mendoza,Fernando,Mendoza,15,QB,00-0041562,4837248,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umygvel2pumkyvxt3jm9",2
2026,PIT,QB,INA,Drew Allar,Drew,Allar,16,QB,00-0041565,4714771,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sphuqnfrtzwsgeugeycz",2
2026,LA,QB,ACT,Ty Simpson,Tyler,Simpson,15,QB,00-0041568,4685522,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lbvqgmsidrpxh1jyyey6",2
