season,week,game_id,kickoff_local,away_team,home_team,model_version,feature_version,ratings_basis,model_home_margin,model_home_line,model_fair_total,home_win_prob_pct,model_fair_home_ml,model_fair_away_ml,ref_home_line,ref_total,ref_home_ml,ref_away_ml,ref_source,spread_gap_pts,total_gap_pts,spread_pick,p_spread_pick_pct,spread_push_pct,total_pick,p_total_pick_pct,total_push_pct,ml_pick,p_ml_pick_pct,recommendation_spread,recommendation_total,recommendation_basis,qb_status,data_status,unproven,generated_at,home_score,away_score,final_margin,final_total,spread_result,total_result,ml_result,kickoff_tz,neutral_site,venue,home_conference,away_conference,confidence,volatility,roster_stability,qb_stability_home,qb_stability_away,injury_uncertainty,rivalry_intensity,scheme_fit,schedule_stress_home,schedule_stress_away,sigma_margin,p10_margin,median_margin,p90_margin,preseason_share_pct,games_played_min,contrib_rating,contrib_hfa,contrib_qb,contrib_matchup,contrib_conference,contrib_travel,contrib_schedule,contrib_injury,contrib_rivalry,primary_driver_1,primary_driver_2,primary_driver_3,counterargument_1,unavailable_inputs,data_quality_notes
2026,1,401858435,2026-09-04 23:00,Indiana State,Purdue,edgedesk_cfb_p4_v1.0.0,cfb_p4_fv1,trained seeds + 8 absorbed 2026 games (as of now; later weeks update as results absorb),23.81,-23.81,,93.6,-1451,1451,,,,,none joined — no book number available for this game,,,,,,,,,Purdue,93.6,NO_MARKET,NO_MARKET,"UNPROVEN: held-out 2022-2025 spread MAE 12.769 vs closing market 12.015; does NOT beat the close (best ATS 49.94% at 1+ points of disagreement (n=2599, p=0.5313)); research only, counted nowhere until graded CLV",home QB unknown; away QB unknown,PREDICTED,true,2026-09-04T18:28:44.061Z,,,,,,,,UTC,false,Ross-Ade Stadium,Big Ten,MVFC,8,100,,0,0,100,0,,,,15.7,-0.2,22.8,45.8,100,0,19.73,4.08,0,0,0,0,0,0,0,"Purdue is the better football team by 19.7 points on opponent-adjusted results — but about 100% of that rating is still last season carried forward, and in a portal era last season is a different team","Playing at Purdue is worth 4.1 points — the league-wide home-field number, because a per-venue table was tested and could not be told apart from the home team’s own quality",,The projection could be wrong because it is early enough that both ratings still lean on preseason belief — it widens the outcome range by about 7%.,"Home starting quarterback; Away starting quarterback; Home availability / injuries; Away availability / injuries; Blue-chip / per-player recruiting talent; Weather at kickoff; Off-field, culture and NIL situation; Coaching and coordinator continuity; Motivation, lookahead and locker-room state","home roster not supplied — talent, continuity and youth layers are blind; away roster not supplied — talent, continuity and youth layers are blind; home starting QB unknown; away starting QB unknown; weather not supplied; home injury report not supplied; away injury report not supplied; no book spread joined to this game — no edge is claimed; no book total joined to this game; opponent-adjusted team rating is in the number but rests on a thin sample"
2026,1,401856769,2026-09-05 00:00,Long Island University,Kansas,edgedesk_cfb_p4_v1.0.0,cfb_p4_fv1,trained seeds + 8 absorbed 2026 games (as of now; later weeks update as results absorb),30.31,-30.31,,97.3,-3653,3653,,,,,none joined — no book number available for this game,,,,,,,,,Kansas,97.3,NO_MARKET,NO_MARKET,"UNPROVEN: held-out 2022-2025 spread MAE 12.769 vs closing market 12.015; does NOT beat the close (best ATS 49.94% at 1+ points of disagreement (n=2599, p=0.5313)); research only, counted nowhere until graded CLV",home QB unknown; away QB unknown,PREDICTED,true,2026-09-04T18:28:44.061Z,,,,,,,,UTC,false,Memorial Stadium,Big 12,NEC,8,100,,0,0,100,0,,,,15.7,6.3,29.3,52.3,100,0,26.23,4.08,0,0,0,0,0,0,0,"Kansas is the better football team by 26.2 points on opponent-adjusted results — but about 100% of that rating is still last season carried forward, and in a portal era last season is a different team","Playing at Kansas is worth 4.1 points — the league-wide home-field number, because a per-venue table was tested and could not be told apart from the home team’s own quality",,The projection could be wrong because it is early enough that both ratings still lean on preseason belief — it widens the outcome range by about 7%.,"Home starting quarterback; Away starting quarterback; Home availability / injuries; Away availability / injuries; Blue-chip / per-player recruiting talent; Weather at kickoff; Off-field, culture and NIL situation; Coaching and coordinator continuity; Motivation, lookahead and locker-room state","home roster not supplied — talent, continuity and youth layers are blind; away roster not supplied — talent, continuity and youth layers are blind; home starting QB unknown; away starting QB unknown; weather not supplied; home injury report not supplied; away injury report not supplied; no book spread joined to this game — no edge is claimed; no book total joined to this game; opponent-adjusted team rating is in the number but rests on a thin sample"
2026,1,401858429,2026-09-05 00:00,Toledo,Michigan State,edgedesk_cfb_p4_v1.0.0,cfb_p4_fv1,trained seeds + 8 absorbed 2026 games (as of now; later weeks update as results absorb),10.22,-10.22,47,74.3,-289,289,,,,,none joined — no book number available for this game,,,,,,,,,Michigan State,74.3,NO_MARKET,NO_MARKET,"UNPROVEN: held-out 2022-2025 spread MAE 12.769 vs closing market 12.015; does NOT beat the close (best ATS 49.94% at 1+ points of disagreement (n=2599, p=0.5313)); research only, counted nowhere until graded CLV",home QB unknown; away QB unknown,PREDICTED,true,2026-09-04T18:28:44.062Z,,,,,,,,UTC,false,Spartan Stadium,Big Ten,Mid-American,39,100,,0,0,100,0,53,,,15.7,-13.8,9.2,32.2,100,0,-7.42,4.08,0,-0.98,14.53,0,0,0,0,"Conference strength differs and the in-season sample is still thin, worth 14.5 points to Michigan State","Toledo is the better football team by 7.4 points on opponent-adjusted results — but about 100% of that rating is still last season carried forward, and in a portal era last season is a different team","Playing at Michigan State is worth 4.1 points — the league-wide home-field number, because a per-venue table was tested and could not be told apart from the home team’s own quality",The projection could be wrong because it is early enough that both ratings still lean on preseason belief — it widens the outcome range by about 7%.,"Home starting quarterback; Away starting quarterback; Home availability / injuries; Away availability / injuries; Blue-chip / per-player recruiting talent; Weather at kickoff; Off-field, culture and NIL situation; Coaching and coordinator continuity; Motivation, lookahead and locker-room state","home roster not supplied — talent, continuity and youth layers are blind; away roster not supplied — talent, continuity and youth layers are blind; home starting QB unknown; away starting QB unknown; weather not supplied; home injury report not supplied; away injury report not supplied; no book spread joined to this game — no edge is claimed; no book total joined to this game"
2026,1,401856664,2026-09-05 00:00,UTEP,Oklahoma,edgedesk_cfb_p4_v1.0.0,cfb_p4_fv1,trained seeds + 8 absorbed 2026 games (as of now; later weeks update as results absorb),36.36,-36.36,49.1,99,-9693,9693,,,,,none joined — no book number available for this game,,,,,,,,,Oklahoma,99,NO_MARKET,NO_MARKET,"UNPROVEN: held-out 2022-2025 spread MAE 12.769 vs closing market 12.015; does NOT beat the close (best ATS 49.94% at 1+ points of disagreement (n=2599, p=0.5313)); research only, counted nowhere until graded CLV",home QB unknown; away QB unknown,PREDICTED,true,2026-09-04T18:28:44.063Z,,,,,,,,UTC,false,"Memorial Stadium (Norman, OK)",SEC,Mountain West,39,100,,0,0,100,0,76,,,15.7,12.4,35.4,58.4,100,0,19.92,4.08,0,3.84,8.53,0,0,0,0,"Oklahoma is the better football team by 19.9 points on opponent-adjusted results — but about 100% of that rating is still last season carried forward, and in a portal era last season is a different team","Conference strength differs and the in-season sample is still thin, worth 8.5 points to Oklahoma","Playing at Oklahoma is worth 4.1 points — the league-wide home-field number, because a per-venue table was tested and could not be told apart from the home team’s own quality",The projection could be wrong because it is early enough that both ratings still lean on preseason belief — it widens the outcome range by about 7%.,"Home starting quarterback; Away starting quarterback; Home availability / injuries; Away availability / injuries; Blue-chip / per-player recruiting talent; Weather at kickoff; Off-field, culture and NIL situation; Coaching and coordinator continuity; Motivation, lookahead and locker-room state","home roster not supplied — talent, continuity and youth layers are blind; away roster not supplied — talent, continuity and youth layers are blind; home starting QB unknown; away starting QB unknown; weather not supplied; home injury report not supplied; away injury report not supplied; no book spread joined to this game — no edge is claimed; no book total joined to this game"
